Observación;MUESTRA;PROYECTO;TIPO PELIGRO;PELIGRO ESPECIFICO;LONGITUD;LATITUD
902;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.21525383;-7.137223533
903;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.40785547;-7.200321344
904;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.34855779;-7.138036252
905;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.32522064;-7.132825258
906;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.2793731;-7.112511285
907;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.37366484;-7.139617401
908;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.35830892;-7.130068616
909;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.40086746;-7.127053015
910;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.42535619;-7.113573215
911;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Caida;Derrumbe;-79.49211078;-7.310802441
912;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Arenamiento;-79.4195268;-7.228936184
913;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.34899243;-7.302741797
914;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.32422131;-7.2913479
915;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.27632176;-7.271131002
916;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Mov. Complejo;;-79.03636632;-7.057842659
917;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.01710334;-7.118333503
918;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.01109181;-7.116653271
919;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-79.35432914;-7.321795135
920;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.49657748;-7.258676464
921;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.41526851;-7.069456361
922;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.4380519;-7.292298147
923;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.43849167;-7.288221464
924;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Flujo;;-79.16188142;-7.241170428
925;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión Fluvial;-79.07853537;-7.25330258
926;Peligros;Estudio Geoambiental de la Cuenca del Río Jequetepeque;Otro Peligro;Erosión de Ladera;-78.4688988;-7.249863255
